title,areacode,addr1,cat2,mapx,mapy,firstimage
남고문(나주읍성 남문),38,전라남도 나주시 남내동 2-20,A0201,126.7203752,35.02941259,http://tong.visitkorea.or.kr/cms/resource/92/1073292_image2_1.jpg
남고사(전주),37,전북특별자치도 전주시 완산구 남고산성1길 53-88,A0201,127.1589501,35.79974391,http://tong.visitkorea.or.kr/cms/resource/49/3064749_image2_1.jpg
남고서원,37,전북특별자치도 정읍시 북면 보림1길 392,A0201,126.9205021,35.5728517,
남곡서원,4,대구광역시 군위군 우보면 미성3길 66-7,A0201,128.6668424,36.17008172,
남궁찬묘석상,37,전북특별자치도 익산시 성당면,A0201,126.9246994,36.0929731,
남노일 강변,32,강원특별자치도 홍천군 남면 남노일로,A0101,127.7598191,37.67261731,http://tong.visitkorea.or.kr/cms/resource/51/1842051_image2_1.jpg
남노일강변유원지,32,강원특별자치도 홍천군 남면 남노일리,A0101,127.7607217,37.67798615,http://tong.visitkorea.or.kr/cms/resource/69/3037169_image2_1.jpg
남농기념관,38,전라남도 목포시 남농로 119,A0206,126.4196714,34.79292872,
남당 노을 전망대,34,충청남도 홍성군 서부면 남당리,A0205,126.4652511,36.54359686,http://tong.visitkorea.or.kr/cms/resource/04/3065204_image2_1.jpg
남당리 행복마을,34,충청남도 서천군 비인면 남당길63번길 23-6,A0203,126.6158889,36.17133105,http://tong.visitkorea.or.kr/cms/resource/34/1961134_image2_1.jpg
남대문 갈치조림골목,1,서울특별시 중구 남대문시장길 16-17,A0203,126.9769047,37.55953281,http://tong.visitkorea.or.kr/cms/resource/33/3082833_image2_1.png
남대문바위,2,인천광역시 옹진군 자월면 승봉리,A0101,126.3138564,37.16950808,
남대천,32,강원특별자치도 양양군 양양읍 월리 553,A0101,128.6128188,38.06536013,http://tong.visitkorea.or.kr/cms/resource/49/2746849_image2_1.jpg
남대천 생태관찰로,32,강원특별자치도 양양군 양양읍 조산리 86-4,A0101,128.6397264,38.09841514,http://tong.visitkorea.or.kr/cms/resource/29/2739129_image2_1.jpg
남대천(강릉),32,강원특별자치도 강릉시 성산면 구산안길,A0101,128.8263881,37.71411611,http://tong.visitkorea.or.kr/cms/resource/34/3047934_image2_1.jpg
남대천연어생태공원,32,강원특별자치도 양양군 양양읍 조산리 86-7,A0101,128.6398403,38.09818184,http://tong.visitkorea.or.kr/cms/resource/81/2793281_image2_1.jpg
남도전통미술관,38,전라남도 진도군 의신면 운림산방로 315,A0206,126.3068892,34.46591364,http://tong.visitkorea.or.kr/cms/resource/81/3081681_image2_1.jpg
남도한옥민박마을,38,전라남도 해남군 삼산면 민박촌길 44,A0201,126.6057535,34.5093192,http://tong.visitkorea.or.kr/cms/resource/89/895489_image2_1.jpg
남도해양열차 S-트레인(S-train),6,부산광역시 동구 중앙대로 206,A0203,129.0424332,35.11527152,http://tong.visitkorea.or.kr/cms/resource/78/3070878_image2_1.JPG
남도향토음식박물관,5,광주광역시 북구 설죽로 477,A0206,126.8986968,35.20174058,
남동공단근린공원,2,인천광역시 남동구 남동대로 263,A0202,126.699712,37.40832044,
남동타워 (청년미디어타워),2,인천광역시 남동구 논현고잔로 173,A0205,126.7155914,37.39855797,
남망산 조각공원,36,경상남도 통영시 남망공원길 29,A0206,128.429455,34.84129661,http://tong.visitkorea.or.kr/cms/resource/11/2369611_image2_1.jpg
남매공원,35,경상북도 경산시 계양동,A0202,128.7434259,35.82624156,http://tong.visitkorea.or.kr/cms/resource/30/3038730_image2_1.jpg
남매지,35,경상북도 경산시 계양동,A0101,128.7467256,35.82484178,http://tong.visitkorea.or.kr/cms/resource/52/2795252_image2_1.jpg
